case_id,stage,trial,label,status,ingestion_passed,ingestion_total,financial_passed,financial_total,judgment_passed,judgment_total,critical_errors,cost_usd,known_partial_cost_usd,cost_basis,run_path
in-01,initial,1,Opus 4.7 API agent,completed,18,18,6,12,7,8,4,1.18413,1.18413,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/in-01
in-01,revision,1,Opus 4.7 API agent,completed,18,18,6,12,7,8,4,1.57644,1.57644,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/in-01
mf-01,initial,1,Opus 4.7 API agent,completed,18,18,12,12,8,8,0,1.59132,1.59132,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/mf-01
mf-01,revision,1,Opus 4.7 API agent,completed,16,18,12,12,8,8,0,1.8243999999999998,1.8243999999999998,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/mf-01
of-01,initial,1,Opus 4.7 API agent,completed,17,18,6,12,8,8,4,,0.966255,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/of-01
of-01,revision,1,Opus 4.7 API agent,completed,18,18,6,12,8,8,4,1.3771550000000001,1.3771550000000001,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/of-01
rt-01,initial,1,Opus 4.7 API agent,completed,17,18,6,12,7,8,4,1.6882,1.6882,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/rt-01
rt-01,revision,1,Opus 4.7 API agent,completed,17,18,6,12,7,8,4,1.7591700000000001,1.7591700000000001,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-4.7/rt-01
in-01,initial,1,Opus 5 API agent,completed,18,18,12,12,7,8,0,2.54615,2.54615,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/in-01
in-01,revision,1,Opus 5 API agent,completed,18,18,12,12,7,8,0,3.484775,3.484775,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/in-01
mf-01,initial,1,Opus 5 API agent,completed,18,18,12,12,8,8,0,2.235585,2.235585,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/mf-01
mf-01,revision,1,Opus 5 API agent,completed,18,18,12,12,8,8,0,3.251535,3.251535,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/mf-01
mf-02,initial,1,Opus 5 API agent,budget_stop,0,18,0,12,0,8,6,2.004015,2.004015,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/mf-02
