case,system,condition,status,verified,target,eligible,returned,screening_correct,screening_total,material_errors,artifact_passed,artifact_total,inference_usd,cost_basis
refinance-leads-alder,Lev Agent,lev_native,completed,6,6,6,6,20,20,0,3,4,0.4377025,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-alder,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.5312985,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-alder,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.29629500000000003,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-alder,GPT-5 direct,direct,completed,5,6,5,6,18,20,1,,,0.0896075,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-alder,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.21089,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-birch,Lev Agent,lev_native,completed,6,6,6,7,18,20,1,3,4,0.41710549999999996,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-birch,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.33343325,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-birch,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.288935,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-birch,GPT-5 direct,direct,completed,6,6,6,6,20,20,0,,,0.0954975,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-birch,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.20736,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-cypress,Lev Agent,lev_native,completed,6,6,6,7,19,20,1,3,4,0.34473925,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-cypress,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.2018775,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-cypress,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.29891,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
